date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:44	2/2	---M--	200	added ('OK')	text/plain	etag:%2256b94203-2%22	http://www.themostamazingwebsiteontheinternet.com/robots.txt		(from )
13:46:44	25012/25012	---M--	200	added ('OK')	text/html	etag:%2261c2b818-61b4%22	http://www.themostamazingwebsiteontheinternet.com/	C:/My%20Web%20Sites/test/www.themostamazingwebsiteontheinternet.com/index.html	(from )
13:46:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Oct%202023%2016:46:45%20GMT	http://farm4.static.flickr.com/3085/3696756949_e0e201813c_o.jpg	C:/My%20Web%20Sites/test/farm4.static.flickr.com/3085/3696756949_e0e201813c_o.1.delayed	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:45	177072/177072	---M--	200	added ('OK')	text/javascript	etag:12998466423453242359	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-8833209311942677	C:/My%20Web%20Sites/test/pagead2.googlesyndication.com/pagead/js/f55ce.txt	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:45	56940/56940	---M--	200	added ('OK')	image/jpeg	etag:%22c17165b4e9dc4919f61753fd8bbaf762%22	https://farm4.static.flickr.com/3085/3696756949_e0e201813c_o.jpg	C:/My%20Web%20Sites/test/farm4.static.flickr.com/3085/3696756949_e0e201813c_o.jpg	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Oct%202023%2016:46:47%20GMT	http://farm4.static.flickr.com/3474/3696757227_0b1b19597b_o.gif	C:/My%20Web%20Sites/test/farm4.static.flickr.com/3474/3696757227_0b1b19597b_o.gif	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:49	14109/14109	---M--	200	added ('OK')	image/gif	etag:%22ff210805d59288e03deadc16bba1c7c5%22	http://cdn.howtogobroke.com/imgs/logo.gif	C:/My%20Web%20Sites/test/cdn.howtogobroke.com/imgs/logo.gif	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Oct%202023%2016:46:49%20GMT	http://farm3.static.flickr.com/2466/3696756981_7c94065bbc_o.gif	C:/My%20Web%20Sites/test/farm3.static.flickr.com/2466/3696756981_7c94065bbc_o.8.delayed	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:50	17400/17400	---M--	200	added ('OK')	image/gif	etag:%22105dc6f3fd8ebd303d8080a9ee8db247%22	https://farm4.static.flickr.com/3474/3696757227_0b1b19597b_o.gif	C:/My%20Web%20Sites/test/farm4.static.flickr.com/3474/3696757227_0b1b19597b_o.gif	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Oct%202023%2016:46:50%20GMT	http://farm4.static.flickr.com/3430/3696756991_ba7b154e6c_o.png	C:/My%20Web%20Sites/test/farm4.static.flickr.com/3430/3696756991_ba7b154e6c_o.a.delayed	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:52	34466/34466	---M--	200	added ('OK')	text/javascript	etag:9377557162236401713	http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/My%20Web%20Sites/test/pagead2.googlesyndication.com/pagead/f.txt	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Oct%202023%2016:46:52%20GMT	http://farm4.static.flickr.com/3618/3697567056_45ae16f677_o.gif	C:/My%20Web%20Sites/test/farm4.static.flickr.com/3618/3697567056_45ae16f677_o.c.delayed	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:53	91/91	---M--	200	added ('OK')	image/gif	etag:%222446a3780998b9ca5ee136c45c5a3a5f%22	https://farm4.static.flickr.com/3618/3697567056_45ae16f677_o.gif	C:/My%20Web%20Sites/test/farm4.static.flickr.com/3618/3697567056_45ae16f677_o.gif	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Oct%202023%2016:46:53%20GMT	http://farm3.static.flickr.com/2514/3697567176_e539814357_o.gif	C:/My%20Web%20Sites/test/farm3.static.flickr.com/2514/3697567176_e539814357_o.e.delayed	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:55	9155/9155	---M--	200	added ('OK')	image/gif	etag:%22125732dae07dcf6ea24535c329037f07%22	https://farm3.static.flickr.com/2514/3697567176_e539814357_o.gif	C:/My%20Web%20Sites/test/farm3.static.flickr.com/2514/3697567176_e539814357_o.gif	(from http://www.themostamazingwebsiteontheinternet.com/)
13:46:56	31611/31611	---M--	200	added ('OK')	image/png	etag:%22f26de52236681f0c6f233f2139659e0f%22	https://farm4.static.flickr.com/3430/3696756991_ba7b154e6c_o.png	C:/My%20Web%20Sites/test/farm4.static.flickr.com/3430/3696756991_ba7b154e6c_o.png	(from http://www.themostamazingwebsiteontheinternet.com/)
